Index,Book Name,Author,Rating,Number of Votes,Score
736,The Bear,Andrew Krivak,3.90,"10,082",160
737,The 20th Victim (Women's Murder Club #20),James Patterson,4.07,"32,450",160
738,Lies and Weddings,Kevin Kwan,3.80,"27,446",160
739,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,4.17,"26,280",159
740,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,4.28,"12,074",159
741,Iona Iverson's Rules for Commuting,Clare Pooley,4.19,"59,091",159
742,The Girl in White Gloves,Kerri Maher,3.70,"2,738",158
743,Band of Sisters,Lauren Willig,4.07,"10,986",158
744,"The Dragon's Bride (A Deal With a Demon, #1)",Katee Robert,3.66,"40,421",158
745,Eden Mine,S.M. Hulse,4.01,"1,067",157
746,"Lords of Wrath (Royals of Forsyth University, #2)",Angel Lawson,4.18,"28,927",157
747,My Killer Vacation,Tessa Bailey,3.61,"128,259",157
748,"Isn't It Bromantic? (Bromance Book Club, #4)",Lyssa Kay Adams,4.03,"33,880",157
749,Wandering Souls,Cecile Pin,4.15,"13,053",157
750,Those Empty Eyes,Charlie Donlea,4.19,"43,653",157
751,A Shining,Jon Fosse,3.49,"7,904",157
752,Wandering Stars,Tommy Orange,3.88,"20,294",157
753,Personal Effects: What Recovering the Dead Teaches Me About Caring for the Living,Robert A. Jensen,3.83,"1,375",156
754,When the Stars Go Dark,Paula McLain,3.85,"58,113",156
755,Girls That Never Die: Poems,Safia Elhillo,4.30,"1,281",156
756,The Christie Affair,Nina de Gramont,3.72,"86,477",156
757,The Paris Apartment,Lucy Foley,3.65,"587,147",156
758,All the Quiet Places,Brian Thomas Isaac,3.85,"2,398",155
759,"When in Rome (When in Rome, #1)",Sarah Adams,3.90,"139,021",155
760,I Left The House Today!,Cassandra Calin,4.03,"3,894",154
761,The Book of Cold Cases,Simone St. James,3.78,"118,177",154
762,The River of Silver: Tales from the Daevabad Trilogy,S.A. Chakraborty,4.29,"9,288",154
763,The End of the Day,Bill Clegg,3.20,"2,446",153
764,"The Year of the Witching (Bethel, #1)",Alexis Henderson,3.81,"40,073",153
765,The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,3.84,"12,529",153
766,"Liar (Madison Kate, #2)",Tate James,4.35,"46,795",152
767,The Other Black Girl,Zakiya Dalila Harris,3.36,"79,801",152
768,A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,Mike Rinder,4.31,"6,459",152
769,Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Jessie Inchauspé,4.43,"33,279",152
770,"Breakaway (Beyond the Play, #2)",Grace Reilly,3.81,"52,450",152
771,A Cat Story,Ursula Murray Husted,3.79,"1,238",151
772,Once Upon a Wardrobe,Patti Callahan Henry,4.35,"23,011",151
773,Just Like You,Nick Hornby,3.36,"23,221",150
774,Darling Girls,Sally Hepworth,4.03,"120,146",150
775,"Fake (Madison Kate, #3)",Tate James,4.37,"43,639",149
776,Two Wrongs Make a Right (The Wilmot Sisters #1),Chloe Liese,3.80,"33,693",149
777,Under The Great Elm: A Life of Luck & Wonder,Rich Flanders,4.67,51,148
778,"Wildfire (Maple Hills, #2)",Hannah Grace,3.86,"319,869",148
779,Someone Else's Shoes,Jojo Moyes,3.96,"204,768",148
780,The True Love Experiment,Christina Lauren,4.10,"150,669",147
781,"Her Majesty's Royal Coven (Her Majesty's Royal Coven, #1)",Juno Dawson,3.84,"26,378",147
782,"First Down (Beyond the Play, #1)",Grace Reilly,3.66,"64,818",147
783,Indians on Vacation,Thomas King,3.77,"7,212",146
784,Wandering in Strange Lands: A Daughter of the Great Migration Reclaims Her Roots,Morgan Jerkins,"really liked it
4.00","2,063",146
785,Slewfoot: A Tale of Bewitchery,Brom,4.28,"43,929",146
786,"Defy or Defend (Delightfully Deadly, #2)",Gail Carriger,4.24,"2,700",146
787,The Wake-Up Call,Beth O'Leary,3.57,"36,703",146
788,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,4.35,"27,657",146
789,The Good Sister,Sally Hepworth,4.16,"198,290",145
790,"Hate (Madison Kate, #1)",Tate James,4.20,"54,417",145
791,"Bombshell (Hell's Belles, #1)",Sarah MacLean,3.79,"14,090",144
792,"Sparring Partners (Jake Brigance, #4)",John Grisham,3.76,"47,463",144
793,Bad Cruz,L.J. Shen,4.02,"24,297",144
794,Every Summer After,Carley Fortune,4.20,"614,038",144
795,Funny Story,Emily Henry,4.25,"645,422",144
796,Liberation Day,George Saunders,3.99,"13,538",144
797,Once Upon an Eid,S.K. Ali,4.23,"4,415",143
798,"The Empire of Dreams (Fire and Thorns, #4)",Rae Carson,4.13,"2,905",143
799,A Good Marriage,Kimberly McCreight,3.90,"57,886",143
800,The Book of V.,Anna Solomon,3.32,"5,507",143
801,Where the Line Breaks,Michael Burrows,4.33,33,143
802,Greta & Valdin,Rebecca K. Reilly,4.04,"12,485",143
803,"Kill Order (The Guild, #3)",Tate James,4.46,"9,578",143
804,Death in Her Hands,Ottessa Moshfegh,3.24,"45,571",142
805,New from Here,Kelly Yang,4.30,"4,180",142
806,"The Night Country (The Hazel Wood, #2)",Melissa Albert,3.71,"18,808",142
807,The House of Kennedy,James Patterson,3.90,"12,506",141
808,"Lords of Pain (Royals of Forsyth University, #1)",Angel Lawson,4.02,"38,202",141
809,The Latinist,Mark Prins,3.42,"3,348",141
810,Perhaps the Stars,Ada Palmer,4.33,"2,364",141
811,The Wind Knows My Name,Isabel Allende,4.02,"44,359",140
812,"Dead Drop (The Guild, #2)",Tate James,4.48,"10,841",139
813,"When Stars Collide (Chicago Stars, #9)",Susan Elizabeth Phillips,3.81,"14,221",139
814,"Lost Hills (Eve Ronin, #1)",Lee Goldberg,4.18,"26,912",137
815,The Children's Blizzard,Melanie Benjamin,3.95,"21,866",137
816,The Anomaly,Hervé Le Tellier,3.80,"57,388",136
817,"A Private Cathedral (Dave Robicheaux, #23)",James Lee Burke,4.02,"7,054",135
818,Alone With You in the Ether,Olivie Blake,3.81,"88,980",135
819,"Lightning Strike (Cork O’Connor, #0)",William Kent Krueger,4.27,"26,940",135
820,Under the Rainbow,Celia Laskey,3.73,"3,690",134
821,Sorrow and Bliss,Meg Mason,4.09,"108,336",134
822,The Best of Me,David Sedaris,4.21,"23,925",134
823,"How the Penguins Saved Veronica (Veronica McCreedy, #1)",Hazel Prior,4.10,"39,561",133
824,No Cure for Being Human: And Other Truths I Need to Hear,Kate Bowler,4.13,"22,486",132
825,Dress Coded,Carrie Firestone,4.17,"6,202",132
826,Uncanny Valley,Anna Wiener,3.64,"34,001",131
827,"Glow (The Plated Prisoner, #4)",Raven Kennedy,4.16,"84,235",131
828,"Voices from the Pandemic: Americans Tell Their Stories of Crisis, Courage and Resilience",Eli Saslow,4.55,494,130
829,Golden Girl,Elin Hilderbrand,4.16,"155,415",129
830,The Queen of Paris: A Novel of Coco Chanel,Pamela Binnings Ewen,4.03,"5,611",128
831,"A Dance with the Fae Prince (Married to Magic, #2)",Elise Kova,3.85,"31,993",127
832,Funny Farm: My Unexpected Life with 600 Rescue Animals,Laurie Zaleski,4.28,"8,067",127
833,Watercress,Andrea Wang,4.53,"5,020",127
834,"A Sunlit Weapon (Maisie Dobbs, #17)",Jacqueline Winspear,4.27,"15,349",127
835,Layover,Emily Henry,4.53,"7,011",127
836,Dust Child,Nguyễn Phan Quế Mai,4.24,"13,200",127
837,Pride of Eden,Taylor Brown,3.93,535,126
838,The Drowning Kind,Jennifer McMahon,3.82,"27,473",126
839,Find Me in Havana,Serena Burdick,3.70,"1,255",126
840,"A Treacherous Tale (Cambridge Bookshop, #2)",Elizabeth Penney,4.07,718,126
841,I Hope This Finds You Well: Poems,Kate Baer,4.28,"8,915",126
842,Trans: When Ideology Meets Reality,Helen Joyce,4.28,"2,887",125
843,"Gild (The Plated Prisoner, #1)",Raven Kennedy,3.59,"183,875",125
844,"Defy the Night (Defy the Night, #1)",Brigid Kemmerer,4.13,"60,737",125
845,The Family Game,Catherine Steadman,3.84,"71,233",125
846,Nora Goes Off Script,Annabel Monaghan,4.09,"156,171",125
847,"King of Battle and Blood (Adrian x Isolde, #1)",Scarlett St. Clair,3.72,"127,041",124
848,Kings of Anarchy (Brutal Boys of Everlake Prep #3),Caroline Peckham,4.40,"19,898",124
849,"The Governess (Royal Outsiders, #1)",Wendy Holden,3.77,"5,225",123
850,Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,4.43,"100,914",123
851,Seven Perfect Things,Catherine Ryan Hyde,4.35,"32,527",123
852,Sisters of the Lost Nation,Nick Medina,3.88,"7,567",123
853,Meet Me at the Lake,Carley Fortune,3.69,"267,135",123
854,Officer Clemmons,François S. Clemmons,3.93,"1,642",122
855,The Great Divide,Cristina Henríquez,3.69,"14,820",122
856,"Book of Night (Book of Night, #1)",Holly Black,3.54,"72,718",121
857,"Gold (The Plated Prisoner, #5)",Raven Kennedy,4.10,"41,236",120
858,All's Well,Mona Awad,3.74,"27,657",120
859,The It Girl,Ruth Ware,3.85,"264,295",120
860,All In: An Autobiography,Billie Jean King,4.32,"4,775",119
861,"Smoke Bitten (Mercy Thompson, #12)",Patricia Briggs,4.43,"33,332",119
862,The Last Lifeboat,Hazel Gaynor,4.32,"6,696",118
863,The Soulmate Equation,Christina Lauren,"really liked it
4.00","255,638",117
864,Star of Persia:,Jill Eileen Smith,4.35,898,116
865,"Undercover Epicenter Nurse: How Fraud, Negligence, and Greed Led to Unnecessary Deaths at Elmhurst Hospital",Erin Marie Olszewski,4.19,272,116
866,Chronicles from the Land of the Happiest People on Earth,Wole Soyinka,3.16,994,116
867,Clash of Steel: A Treasure Island Remix,C.B. Lee,4.01,"2,138",115
868,"The Murder of Mr. Wickham (Mr. Darcy & Miss Tilney, #1)",Claudia Gray,3.69,"17,954",114
869,Cartier's Hope,M.J. Rose,3.67,"1,522",113
870,All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler,Rebecca Donner,4.31,"4,855",113
871,"Broken Bonds (The Bonds that Tie, #1)",J. Bree,4.15,"116,244",112
872,The Vaster Wilds,Lauren Groff,3.77,"33,290",112
873,From The Foster House To The White House,Terrence Williams,4.60,726,110
874,"Paladin's Strength (The Saint of Steel, #2)",T. Kingfisher,4.23,"14,580",110
875,"Outside, Inside",LeUyen Pham,4.48,"2,226",110
876,After Annie,Anna Quindlen,4.02,"26,065",110
877,The Deep: We all know the story of the Titanic . . . don't we?,Alma Katsu,3.33,"10,816",109
878,The Oldest Student: How Mary Walker Learned to Read,Rita Lorraine Hubbard,4.61,"3,499",109
879,"Classified: The Secret Career of Mary Golda Ross, Cherokee Aerospace Engineer",Traci Sorell,4.12,711,109
880,The Many Daughters of Afong Moy,Jamie Ford,3.87,"25,565",109
881,A Most English Princess: A Novel of Queen Victoria's Daughter,Clare McHugh,3.71,"1,909",108
882,"Pucking Around (Jacksonville Rays, #1)",Emily Rath,3.82,"145,959",108
883,"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",Caroline Peckham,4.19,"27,832",107
884,"Snotgirl, Vol. 3: Is This Real Life?",Bryan Lee O'Malley,3.78,"3,028",107
885,The Daughter of Doctor Moreau,Silvia Moreno-Garcia,3.57,"34,518",107
886,Did Ye Hear Mammy Died? A Memoir,Séamas O'Reilly,4.13,"7,384",106
887,Beautiful Country: A Memoir,Qian Julie Wang,4.18,"35,803",105
888,Oh William!,Elizabeth Strout,3.86,"84,037",105
889,Travelers Along the Way: A Robin Hood Remix,Aminah Mae Safi,3.88,"1,041",105
890,The Nurse's Secret,Amanda Skenandore,4.15,"28,332",105
891,"Fox Creek (Cork O’Connor, #19)",William Kent Krueger,4.21,"15,699",105
892,So Many Beginnings: A Little Women Remix,Bethany C. Morrow,3.91,"3,138",102
893,"Invisible Child: Poverty, Survival & Hope in an American City",Andrea Elliott,4.71,"16,663",101
894,All Good People Here,Ashley Flowers,3.84,"264,361",101
895,Figure It Out,Wayne Koestenbaum,3.59,223,100
896,"The Lost Boys of London (Bianca Goddard Mysteries, #5)",Mary Lawrence,4.39,112,100
897,After The Storm,Natalie P. Jenkins,3.40,5,100
898,Before I Called You Mine,Nicole Deese,4.27,"3,849",100
899,You Exist Too Much,Zaina Arafat,3.64,"17,992",100
900,The Glass Magician,Caroline Stevermer,3.36,905,100
901,Sunbathing I Want To,Nicholas Dolinger,3.36,11,100
902,The Renascent World,Carryn W. Kerr,4.29,35,100
903,"The Duke of Diamonds (A Lady to Suit, #1)",Emily Windsor,4.16,"1,852",100
904,I Am Not Your Slave: A Memoir,Tupa Tjipombo,4.58,302,100
905,A Traveler at the Gates of Wisdom,John Boyne,3.66,"5,145",100
906,"Wraithblade (The Wraithblade Saga, #1)",S.M. Boyce,4.41,"3,460",100
907,The Living Dead,George A. Romero,3.79,"2,952",100
908,Unseen City,Amy Shearn,3.90,327,100
909,The Salon of Exiled Artists in California,Núria Añó,4.10,10,100
910,The Book of Moods: How I Turned My Worst Emotions Into My Best Life,Lauren Martin,3.84,"4,239",100
911,"The Ever Cruel Kingdom (The Never Tilting World, #2)",Rin Chupeco,3.98,"1,942",100
912,The Portrait of a Mirror,A. Natasha Joukovsky,3.61,"2,930",100
913,"Unlocked (Keeper of the Lost Cities, #8.5)",Shannon Messenger,4.25,"24,193",100
914,The Castle of Tangled Magic,Sophie Anderson,4.01,"2,081",100
915,A Necessary Blessing,Sarah Head,3.95,73,100
916,The Briarmen,Joseph A. Chadwick,4.21,519,100
917,The House of Dust,Noah Broyles,3.60,710,100
918,Before Familiar Woods,Ian Pisarcik,3.70,"1,837",100
919,"My Contrary Mary (Mary, #1)",Cynthia Hand,3.90,"5,070",100
920,Bad Best Friend,Rachel Vail,4.14,618,100
921,Everything You Wanted,Nina Raman,3.68,100,100
922,"Deianira Queen of Laires Rellik (Deianira, #1)",Lorenzo James,3.86,7,100
923,"The Duchess (Royal Outsiders, #2)",Wendy Holden,3.98,"2,318",100
924,Chaos and Grime: A Year in the Life of a Chinese City,Jacob Acerbi,2.83,47,100
925,"Flock (The Ravenhood, #1)",Kate Stewart,4.12,"187,033",100
926,Με λάθος σκιά,Φάνης Παπαγεωργίου,"it was amazing
5.00",4,100
927,"Redeeming Justice: From Defendant to Defender, My Fight for Equity on Both Sides of a Broken System",Jarrett Adams,4.79,594,100
928,De Duistere Bank: De schokkende ontmaskering van Deutsche Bank,David Enrich,3.97,"5,225",100
929,"Innate Magic (Marrowbone Spells, #1)",Shannon Fay,3.67,"2,382",100
930,Live Yet Another Day,Niveditha Praveen,4.56,59,100
931,The Unexpected Gate: Chapter 1-“The Journey Begins”,Saravanan Shanmugam,4.33,3,100
932,"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,4.11,"3,802",100
933,"In Search of a Prince (In Search of a Prince, #1)",Toni Shiloh,4.19,"1,418",100
934,Pirate's Protector (Sentinels of Savannah #7),Lisa Kessler,4.05,93,100
935,"Moonflower Murders (Susan Ryeland, #2)",Anthony Horowitz,4.06,"54,199",100
936,Afterlift,Chip Zdarsky,3.64,568,100
937,The Nine Lives of Rose Napolitano,Donna Freitas,3.69,"7,975",100
938,Sunset,Jessie Cave,4.11,"10,404",100
939,The Alpha's Son (The Alpha's Son #1),Penny Jessup,3.37,"4,430",100
940,"Stealing Infinity (Stolen Beauty, #1)",Alyson Noel,3.74,"3,432",100
941,The Family Roe: An American Story,Joshua Prager,4.13,"2,400",100
942,The Goddess of Nothing At All,Cat Rector,4.13,801,100
943,MUTTS,Olivia Pritchard,4.71,24,100
944,Notes on a Silencing: A Memoir,Lacy Crawford,4.25,"8,952",100
945,The Old Coal Miner's Lamp,Vicky Peplow,4.62,94,100
946,"A Song Below Water (A Song Below Water, #1)",Bethany C. Morrow,3.74,"11,675",100
947,Forty-Ninth,Boris Pronsky,4.27,113,100
948,Not in Search of Love,Kashish Aggarwal,4.31,42,100
949,Existential Physics: A Scientist's Guide to Life's Biggest Questions,Sabine Hossenfelder,3.91,"2,538",100
950,"Under a Veiled Moon (Inspector Corravan, #2)",Karen Odden,4.21,597,100
951,She Chose to Love,Yvette Dulo,3.71,77,100
952,The End of Men,Christina Sweeney-Baird,3.78,"19,780",100
953,"The Obsidian Tower (Rooks and Ruin, #1)",Melissa Caruso,3.82,"3,586",100
954,"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath",Bill Browder,4.34,"23,815",100
955,The Grey Wolf,Julie Mannino,4.71,55,100
956,The Backrooms,Morgan Solis,3.49,78,100
957,"Of Fire and Ash (The Fireborn Epic, #1)",Gillian Bronte Adams,4.35,417,100
958,The Engagement Party,Finley Turner,3.42,"2,426",100
959,Small Angels,Lauren Owen,3.67,"7,200",100
960,Watch Over Me,Nina LaCour,3.84,"13,113",100
961,All-Night Pharmacy,Ruth Madievsky,3.51,"6,351",100
962,There Are Wolves Here Too,Niall Howell,4.20,40,100
963,Rouge,Mona Awad,3.55,"30,456",100
964,"The Mechanics of Lust (Mackenzie Country, #2)",Jay Hogan,4.36,"1,192",100
965,Azriel,Julie Mannino,4.11,37,100
966,A Whisper of Solace,Milena McKay,4.47,"2,761",100
967,"All the Broken Places (The Boy in the Striped Pajamas, #2)",John Boyne,4.50,"63,692",100
968,Consent: A Memoir,Vanessa Springora,4.30,"24,204",100
969,The Passenger (The Passenger #1),Cormac McCarthy,3.58,"32,246",100
970,"On the Line: A Story of Class, Solidarity, and Two Women's Epic Fight to Build a Union",Daisy Pitkin,4.26,361,100
971,"Storm of the Seven Sins (The Seven Sins, #3)",Emily Colin,4.54,97,100
972,Daughters of Sparta,Claire Heywood,3.87,"14,370",100
973,The Water Walls,iLana Markarov,4.91,47,100
974,Super Host,Kate Russo,3.32,"3,597",100
975,"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté,4.32,"24,379",100
976,Nightwatching,Tracy Sierra,3.85,"23,322",100
977,"The Brothers Hawthorne (The Inheritance Games, #4)",Jennifer Lynn Barnes,3.94,"103,373",100
978,Arlindo,IlustraLu,4.70,"2,512",100
979,Red River Road,Anna Downes,3.86,"2,140",100
980,The Hurting Kind: Poems,Ada Limon,4.34,"6,363",100
981,The First Paper Cut: An Anniversary to Die For,Camille Cabrera,3.66,56,100
982,We Are All So Good at Smiling,Amber McBride,3.87,"4,827",100
983,As Long as the Lemon Trees Grow,Zoulfa Katouh,4.49,"66,626",100
984,Body High,Jon Lindsey,4.20,707,100
985,Tenement Kid,Bobby Gillespie,4.02,990,100
986,Calculated (Calculated #1),Nova McBee,4.29,823,100
987,"Everyone Who Is Gone Is Here: The United States, Central America, and the Making of a Crisis",Jonathan Blitzer,4.47,"1,773",100
988,Shark Heart,Emily Habeck,3.98,"48,457",100
989,"Return of the Thief (The Queen's Thief, #6)",Megan Whalen Turner,4.48,"10,930",100
990,All Fours,Miranda July,3.76,"39,425",100
991,Chasing Lucky,Jenn Bennett,3.74,"7,265",100
992,It's Lonely at the Centre of the Earth,Zoe Thorogood,4.21,"8,351",100
993,"Saltan chispas (Bad Ash, #1)",Alina Not,4.16,"22,767",100
994,Lola in the Mirror,Trent Dalton,4.40,"27,663",100
995,Takeaway: Stories from a Childhood Behind the Counter,Angela Hui,3.90,"2,586",100
996,In Memoriam,Alice Winn,4.53,"41,592",100
997,Bright Young Women,Jessica Knoll,4.01,"144,552",100
998,"Woman, Eating",Claire Kohda,3.46,"17,478",100
999,"The Jasad Heir (The Scorched Throne, #1)",Sara Hashem,3.97,"16,352",100
1000,Wrath Goddess Sing,Maya Deane,3.49,"1,438",100
1001,Anzulla: According to ISH (New Beginnings M/M Series),Kashel Char,4.88,17,100
1002,"A Kingdom of Blood and Magic (Hallowed Fates, #1)",Chiara Forestieri,3.97,375,100
1003,"Woman of Sunlight (Brides of Hope Mountain, #2)",Mary Connealy,4.27,"1,235",99
1004,Hope in the Mail: Reflections on Writing and Life,Wendelin Van Draanen,4.39,201,99
1005,The River Home,Hannah Richell,3.95,"2,058",99
1006,A Graceful Swan for the Fearless Marquess,Fanny Finch,4.28,214,99
1007,Cat Kid Comic Club,Dav Pilkey,4.04,"36,277",99
1008,"What Does It Mean to Be Chosen?: An Interactive Bible Study (The Chosen Bible Study Series, #1)",Amanda Jenkins,4.52,543,99
1009,Sorrow,Tiffanie DeBartolo,4.41,957,99
1010,"Exodus (The Ravenhood Duet, #2)",Kate Stewart,4.41,"148,201",99
1011,The Vanishing Deep,Astrid Scholte,3.65,"2,772",99
1012,Προσκόμματα και ποιμαντικές λύσεις για την κατάβαση της αγέλης στον κάμπο σε περίπτωση αντάρας,Αλέξιος Μάινας,"it was amazing
5.00",1 rating,99
1013,Revolusi: Indonesië en het ontstaan van de moderne wereld,David Van Reybrouck,4.54,"3,153",99
1014,"Amazing Spider-Man Epic Collection, Vol. 5: The Secret of the Petrified Tablet",Stan Lee,4.07,134,99
1015,The Civil War on Film,Peg A. Lamphier,"it was amazing
5.00",1 rating,99
1016,Mrs. Witherspoon Goes to War,Mary Davis,4.36,328,99
1017,The Breath Between Waves,Charlotte Anne Hamilton,3.73,244,99
1018,Elsewhere,Dean Koontz,4.13,"21,396",99
1019,The Valkyrie's Daughter (The Helheim Prophecy #1),Tiana Warner,3.71,"1,806",99
1020,Pharaoh's Ticks,Kenneth J. Stein,"really liked it
4.00",11,99
1021,Kundiman for Kin/Information Retrieval for Monsters,Ching-In Chen,"it was amazing
5.00",2,99
1022,Things I Have Withheld,Kei Miller,4.48,718,99
1023,"The Visit (Black Stars, #1)",Chimamanda Ngozi Adichie,3.95,"8,820",99
1024,How Moon Fuentez Fell in Love with the Universe,Raquel Vasquez Gilliland,4.24,"4,585",99
1025,Maggots Screaming!,Max Booth III,4.26,247,99
1026,Best Canadian Poetry 2021,Souvankham Thammavongsa,3.78,64,99
1027,"The Quicksilver Court (Rooks and Ruin, #2)",Melissa Caruso,4.21,"1,277",99
1028,Biography of X,Catherine Lacey,3.85,"11,440",99
1029,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.44,"52,238",99
1030,Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.07,"39,943",99
1031,Dark Factory,Kathe Koja,3.34,86,99
1032,"Lor (Monstrous, #7)",Lily Mayne,4.47,"5,806",99
1033,Fall,West Camel,4.15,118,99
1034,"The Headmistress (The Headmistress, #1)",Milena McKay,4.45,"3,681",99
1035,Cross Down (Alex Cross #31),James Patterson,4.41,"21,615",99
1036,"Love Redesigned (Lakefront Billionaires, #1)",Lauren Asher,4.05,"113,945",99
1037,Have I Told You This Already?: Stories I Don’t Want to Forget to Remember,Lauren Graham,3.66,"29,636",99
1038,Beyond The Story: 10-Year Record of BTS,Myeongseok Kang,4.64,"9,803",99
1039,Sunbelt Blues: The Failure of American Housing,Andrew Ross,"really liked it
4.00",283,99
1040,The Light in Hidden Place,Sharon Cameron,4.53,"29,602",99
1041,"The Black Coast (The God-King Chronicles, #1)",Mike Brooks,3.97,"1,264",99
1042,Der Horror der frühen Chirurgie,Lindsey Fitzharris,4.29,"6,269",99
1043,Herc,Phoenicia Rogerson,3.52,"4,053",99
1044,"Aurora Burning (Aurora Cycle, #2)",Amie Kaufman,4.26,"37,531",99
1045,Our Perfect Murder,Camille Cabrera,"really liked it
4.00",30,99
1046,Me: Moth,Amber McBride,4.07,"7,893",99
1047,"Before I Let Go (Skyland, #1)",Kennedy Ryan,4.36,"74,114",99
1048,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,4.13,"232,703",99
1049,A Little Devil in America: Notes in Praise of Black Performance,Hanif Abdurraqib,4.60,"8,802",99
1050,Nur ein Wort mit sieben Buchstaben,Ava Reed,4.46,357,99
1051,"In the Roses of Pieria (The Blood Files, #1)",Anna Burke,4.24,833,99
1052,The Cassandra Complex,Holly Smale,3.56,"45,644",99
1053,Chip War: The Fight for the World's Most Critical Technology,Chris Miller,4.43,"27,347",99
1054,The Sunken Land Begins to Rise Again,M. John Harrison,3.39,"1,814",99
1055,Artificial Wisdom,Thomas R. Weaver,4.07,"3,113",99
1056,Crossroads,Jonathan Franzen,4.06,"60,082",99
1057,"Lost and Lassoed (Rebel Blue Ranch, #3)",Lyla Sage,4.46,"1,263",99
1058,"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)","Benjamin Alire Sáenz",4.14,"99,215",99
1059,All The Sinners Bleed,S.A. Cosby,4.23,"67,890",99
1060,The Silver Swan: In Search of Doris Duke,Sallie Bingham,3.01,166,98
1061,"Blood Countess (Lady Slayers, #1)",Lana Popović,3.46,"2,768",98
1062,"How the Lady Was Won (The Survivors, #7)",Shana Galen,3.85,803,98
1063,Every Other Weekend,Abigail Johnson,3.94,"6,361",98
1064,"The Court of Mortals (Stariel, #3)",A.J. Lancaster,4.21,"3,650",98
1065,All the Little Hopes,Leah Weiss,4.14,"5,278",98
1066,How to Pronounce Knife: Stories,Souvankham Thammavongsa,3.84,"18,446",98
1067,Το κορίτσι με το ξύλινο φόρεμα,Βίκυ Φίλιππα,"it was amazing
5.00",1 rating,98
1068,"The Finish Line (The Ravenhood, #3)",Kate Stewart,4.26,"108,442",98
1069,The Lincoln Conspiracy: The Secret Plot to Kill America's 16th President⁠—and Why It Failed,Brad Meltzer,4.32,"6,015",98
1070,"Die Around Sundown (Inspector Henri Lefort, #1)",Mark Pryor,3.99,"1,306",98
1071,The Living Sea of Waking Dreams,Richard Flanagan,3.70,"4,324",98
1072,Heaven and Hell: A History of the Afterlife,Bart D. Ehrman,4.06,"3,407",98
1073,Mark Rutte,Petra de Koning,3.60,823,98
1074,"Amazing Spider-Man Epic Collection, Vol. 25: Maximum Carnage",Terry Kavanagh,3.55,199,98
1075,To Be Honest: A Memoir,Michael Leviton,3.82,905,98
1076,Love's Fortress,Jennifer Uhlarik,4.29,241,98
1077,"Blessed Are the Chosen: An Interactive Bible Study (The Chosen Bible Study Series, #2)",Amanda Jenkins,4.52,215,98
1078,Of Trust & Heart,Charlotte Anne Hamilton,3.62,102,98
1079,Every Missing Piece,Melanie Conklin,4.25,664,98
1080,Polar Vortex,Shani Mootoo,3.53,"1,245",98
1081,Ace of Spades,Faridah Àbíké-Íyímídé,4.16,"90,466",98
1082,"Kingdom of the Feared (Kingdom of the Wicked, #3)",Kerri Maniscalco,3.86,"121,284",98
1083,Termination Shock,Neal Stephenson,3.83,"18,132",98
1084,The Mitford Affair,Marie Benedict,3.70,"15,066",98
1085,Love from Scratch,Kaitlyn Hill,3.62,"6,056",98
1086,"Shadow Fallen (Dream-Hunters, #6; Hellchaser, #8; Dark-Hunter, #28)",Sherrilyn Kenyon,4.10,"2,065",98
1087,"The Scavenger Door (Finder Chronicles, #3)",Suzanne Palmer,4.18,"1,205",98
1088,"The Ivory Tomb (Rooks and Ruin, #3)",Melissa Caruso,4.33,873,98
1089,Stranded,Sarah Goodwin,4.15,"21,994",98
1090,The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland,4.37,"20,515",98
1091,A History of Touch (22) (First Poets Series),Erin Emily Ann Vance,4.04,45,98
1092,The Pole,J.M. Coetzee,3.68,"3,718",98
1093,Exciting Times,Naoise Dolan,3.22,"68,400",98
1094,Życie mimo wszystko. Rozmowy o samobójstwie,Halszka Witkowska,4.43,223,98
1095,Monica,Daniel Clowes,3.94,"4,161",98
1096,Stay Gold,Tobly McSmith,3.84,"7,975",98
1097,Kids Run the Show,Delphine de Vigan,3.94,"14,966",98
1098,Weihnachten im kleinen Inselhotel (Floras Küche #4),Jenny Colgan,3.74,"14,557",98
1099,The Bookbinder of Jericho,Pip Williams,4.06,"24,667",98
1100,Becoming Wild: How Animals Learn Who They Are,Carl Safina,4.20,"1,419",98
